Date ,Dish Name ,Total Cal
20/05/24,Poha ,683
20/05/24,Yellow Dal & Rice,637
20/05/24,Sushi,1545
21/05/24,Kelloggs Cereal & Milk ,243
21/05/24,Sauteed Vegetables ,569
21/05/24,Mongolian Fried Rice,1081
22/05/24,Uttapam ,
